"12dj -- Live births by sex, 1751-2024"

"Year","Total Live births","Males Live births","Females Live births"
"2000",56742,29250,27492
"2001",56189,28701,27488
"2002",55555,28563,26992
"2003",56630,28839,27791
"2004",57758,29684,28074
"2005",57745,29400,28345
"2006",58840,30005,28835
"2007",58729,30136,28593
"2008",59530,30415,29115
"2009",60430,30795,29635
"2010",60980,31309,29671
"2011",59961,30546,29415
"2012",59493,30308,29185
"2013",58134,29858,28276
"2014",57232,29272,27960
"2015",55472,28469,27003
"2016",52814,26812,26002
"2017",50321,25674,24647
"2018",47577,24630,22947
"2019",45613,23186,22427
"2020",46463,23778,22685
"2021",49594,25287,24307
"2022",44951,22960,21991
"2023",43383,22273,21110
"2024",43720,22464,21256
