"11ay -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and sex, whole population and persons aged 15-64, 1971-2024"

"Sex","Underlying cause of death (time series classification)","Year","Deaths, whole population","Age-standardised death rate, whole population (1/100 000)","Crude death rate, whole population (1/100 000)","Age-standardised death rate, whole population, annual change (%)","Deaths, aged 15-64","Age-standardised death rate, aged 15-64 (1/100 000)","Crude death rate, aged 15-64 (1/100 000)","Age-standardised death rate, aged 15-64, annual change (%)"
"Total","00-54 Total","2000",49316,1309.8,952.7,-1.6,10642,325.8,307.2,-1.8
"Total","00-54 Total","2001",48504,1262.3,934.9,-3.6,10326,311.4,297.4,-4.4
"Total","00-54 Total","2002",49389,1265.0,949.7,0.2,10265,304.3,295.1,-2.3
"Total","00-54 Total","2003",49033,1229.0,940.6,-2.8,10393,304.2,298.3,0.0
"Total","00-54 Total","2004",47757,1162.9,913.5,-5.4,10823,312.6,310.2,2.8
"Total","00-54 Total","2005",47751,1133.0,910.2,-2.6,10974,311.3,313.6,-0.4
"Total","00-54 Total","2006",48105,1111.1,913.5,-1.9,10630,297.5,303.1,-4.4
"Total","00-54 Total","2007",49093,1105.1,928.3,-0.5,10848,299.0,308.3,0.5
"Total","00-54 Total","2008",49090,1077.9,923.9,-2.5,10864,293.4,307.2,-1.9
"Total","00-54 Total","2009",49904,1068.6,934.7,-0.9,10653,284.0,300.3,-3.2
"Total","00-54 Total","2010",50910,1064.5,949.2,-0.4,10508,277.7,296.0,-2.2
"Total","00-54 Total","2011",50568,1031.3,938.5,-3.1,9989,265.0,282.2,-4.6
"Total","00-54 Total","2012",51737,1030.0,955.6,-0.1,9554,255.4,271.0,-3.6
"Total","00-54 Total","2013",51478,1001.7,946.5,-2.7,9178,247.6,261.6,-3.1
"Total","00-54 Total","2014",52409,997.2,959.6,-0.4,8661,235.8,248.0,-4.8
"Total","00-54 Total","2015",52302,971.6,954.5,-2.6,8189,224.7,235.6,-4.7
"Total","00-54 Total","2016",53964,978.5,982.0,0.7,8182,225.9,236.2,0.5
"Total","00-54 Total","2017",53670,951.2,974.4,-2.8,7936,220.3,229.9,-2.5
"Total","00-54 Total","2018",54523,947.4,988.5,-0.4,7827,218.8,227.7,-0.7
"Total","00-54 Total","2019",53962,916.2,977.3,-3.3,7368,207.6,215.0,-5.1
"Total","00-54 Total","2020",55498,919.1,1003.7,0.3,7604,215.4,222.3,3.8
"Total","00-54 Total","2021",57632,931.7,1040.1,1.4,7429,211.0,217.4,-2.0
"Total","00-54 Total","2022",63172,1003.4,1137.0,7.7,7488,213.8,218.7,1.3
"Total","00-54 Total","2023",61301,961.2,1097.8,-4.2,7319,208.6,212.4,-2.4
"Total","00-54 Total","2024",58214,893.4,1035.9,-7.1,6862,195.0,197.5,-6.5
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2000",45538,1226.0,879.8,-1.6,8280,257.0,239.0,-1.0
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2001",44664,1178.6,860.9,-3.9,7932,241.8,228.5,-5.9
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2002",45556,1181.1,876.0,0.2,8024,239.6,230.7,-0.9
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2003",45187,1145.5,866.8,-3.0,8149,239.8,233.9,0.1
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2004",43750,1078.0,836.8,-5.9,8459,245.1,242.5,2.2
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2005",43881,1051.8,836.5,-2.4,8700,246.8,248.6,0.7
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2006",44208,1030.6,839.5,-2.0,8329,232.2,237.5,-5.9
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2007",45280,1027.5,856.2,-0.3,8621,236.3,245.0,1.8
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2008",45218,999.9,851.0,-2.7,8621,230.4,243.7,-2.5
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2009",46070,992.8,862.9,-0.7,8454,222.6,238.3,-3.4
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2010",47209,992.0,880.2,-0.1,8436,219.8,237.7,-1.3
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2011",46962,961.7,871.6,-3.1,8057,211.0,227.6,-4.0
"Total","00-41 Diseases and accidental poisoning by alcohol (A00-R99, U071, U072, U109, X45)","2012",48203,962.4,890.3,0.1,7755,204.9,220.0,-2.9
